location,date,alpine_hazard,treeline_hazard,below_treeline_hazard,confidence,highlights,confidence_statement
Cariboos,2021-03-15T23:00:00Z,moderate,low,low,high,"<p>Conditions are mostly favourable for travel in avalanche terrain. Pay attention to steep, south-facing slopes as they heat up during the day and be mindful of large cornices.</p>",N/A
South Coast,2021-03-15T23:00:00Z,moderate,moderate,low,high,<p>A warming trend will weaken cornices and snow on sun-exposed slopes during the heat of the day. Wind slabs may linger at high elevations.</p>,N/A
Yukon,2021-03-15T23:00:00Z,considerable,considerable,norating,moderate,<p>Snowfall amounts are uncertain but the storm wont fizzle out until Wednesday night. Expect reactive storm and wind slabs Tuesday and Wednesday. Bump the danger to <strong>HIGH</strong> if your local riding receives 25 cm or more of new snow. </p>,Forecast snowfall amounts are uncertain.
Northwest Inland,2021-03-15T23:00:00Z,considerable,moderate,moderate,moderate,"<p>Up to 15 cm new snow and moderate to strong southwest wind will form reactive wind slabs. In the southwest of the region the snowpack might need time to stabilize after the big weekend storm. Watch for signs of instability like whumpfing, hollow sounds and shooting cracks.</p>",Uncertainty is due to how quickly the snowpack will recover and gain strength.
Northwest Coastal,2021-03-15T23:00:00Z,considerable,considerable,moderate,moderate,"<p>Up to 20 cm new snow by the end of the day and strong to extreme southwest wind will form touchy wind slabs. The snowpack needs time to stabilize after the big weekend storm. Stay vigilant and watch for signs of instability like whumpfing, hollow sounds and shooting cracks.</p>",Uncertainty is due to how quickly the snowpack will recover and gain strength.
North Columbia,2021-03-15T23:00:00Z,low,low,low,high,<p>We are entering a classic diurnal cycle in the next couple of days with a good refreeze at night and daytime warming. Cornices might weaken with sun-exposure and during the heat of the day.</p>,We have a good understanding of the snowpack structure and confidence in the weather forecast
Purcells,2021-03-15T23:00:00Z,moderate,moderate,low,high,<p>Avalanche conditions will deteriorate through the day in response to warming and solar radiation. Stay off steep sunny slopes once the snow surface becomes moist.</p>,N/A
South Columbia,2021-03-15T23:00:00Z,low,low,low,high,<p>We are entering a classic diurnal cycle in the next couple of days with a good refreeze at night and daytime warming except for the south of the region where temperatures stay elevated overnight. Cornices might weaken with sun-exposure and during the heat of the day.</p>,We have a good understanding of the snowpack structure and confidence in the weather forecast
South Coast Inland,2021-03-15T23:00:00Z,moderate,moderate,low,high,<p>A warming trend will weaken cornices and snow on sun-exposed slopes during the heat of the day. Wind slabs may linger at high elevations. </p>,N/A
North Rockies,2021-03-15T23:00:00Z,moderate,low,low,moderate,<p> <strong>Spring-like conditions will persist through the forecast period. Natural avalanche activity will likely spike in the afternoon when warming and solar radiation destabilizes the snowpack.</strong> </p>,N/A
Sea to Sky,2021-03-15T23:00:00Z,moderate,moderate,low,high,<p>A warming trend will weaken cornices and snow on sun-exposed slopes during the heat of the day. Wind slabs may linger at high elevations. </p>,N/A
Chic-Chocs,2021-03-15T21:00:00Z,moderate,moderate,low,moderate,<p>Blowing snow and cold temperatures continue Tuesday</p>,A small change in the upper snowpack could dramatically change avalanche conditions.
Kananaskis Country,2021-03-15T22:00:00Z,moderate,moderate,low,high,<p>Remember that the avalanche hazard will increase rapidly with daytime heating. Timing and aspect will play a big part in your trip planning.</p>,N/A
location,date,alpine_hazard,treeline_hazard,below_treeline_hazard,confidence,highlights,confidence_statement
South Rockies,2021-03-16T22:00:00Z,moderate,moderate,moderate,moderate,<p>Avalanche hazard will rise with daytime warming and solar input. Time your day to move off of slopes before they get moist or slushy and steer clear of overhead hazards like cornices.</p>,Uncertainty is due to difficult to forecast freezing levels.
Lizard-Flathead,2021-03-16T22:00:00Z,moderate,moderate,moderate,moderate,<p>Avalanche hazard will rise with daytime warming and solar input. Time your day to move off of slopes before they get moist or slushy and steer clear of overhead hazards like cornices.</p>,Uncertainty is due to how the snowpack will react to the forecast weather.
Kootenay-Boundary,2021-03-16T23:00:00Z,moderate,moderate,moderate,high,<p>The danger will be LOW when a thick melt-freeze crust is on the snow surface and increase during the heat of the day as warm air and sun weaken the snow surface. Best to get off steep slopes before they moisten and watch your overhead exposure. </p>,N/A
Cariboos,2021-03-16T23:00:00Z,moderate,low,low,moderate,<p>Spring-like diurnal conditions exist and it allows travel in avalanche terrain to be favorable at this time. Pay attention to steep south facing slopes as they heat up in the afternoon and destabilize. Give looming cornices a wide berth from above and below. </p><p></p>,Uncertainty is due to the limited number of field observations.
South Coast,2021-03-16T23:00:00Z,considerable,moderate,low,high,<p>Cornices are large and could fail under the weight of a human. Wind slabs may linger at high elevations.</p>,N/A
Yukon,2021-03-15T23:00:00Z,considerable,considerable,norating,moderate,<p>Snowfall amounts are uncertain but the storm wont fizzle out until Wednesday night. Expect reactive storm and wind slabs Tuesday and Wednesday. Bump the danger to <strong>HIGH</strong> if your local riding receives 25 cm or more of new snow. </p>,Forecast snowfall amounts are uncertain.
Northwest Inland,2021-03-16T23:00:00Z,moderate,low,low,moderate,"<p>Southwesterly winds continue to form wind slabs on lee and<a href=""https://www.avalanche.ca/glossary#cross-loading"" target=""_blank""> cross-loaded </a>terrain features in the alpine. Use caution when transitioning into wind affected terrain and avoid wind loaded slopes below ridgetops.</p>",Uncertainty is due to the limited number of field observations.
Northwest Coastal,2021-03-16T23:00:00Z,considerable,moderate,moderate,moderate,"<p>Continued snow and southwesterly wind will form fresh storm slabs reactive to human triggers; especially in wind affected terrain. Choose conservative terrain and watch for signs of instability such as whumphing, cracking, and recent avalanches.</p>",Forecast snowfall amounts are uncertain.
North Columbia,2021-03-16T23:00:00Z,low,moderate,moderate,high,<p>Spring-like diurnal conditions exist and the rating reflects the highest hazard level anticipated during the day. Pay attention to steep south facing slopes as they heat up in the afternoon and destabilize. Give looming cornices a wide berth from above and below. </p><p></p>,We have a good understanding of the snowpack structure and confidence in the weather forecast
Purcells,2021-03-16T23:00:00Z,low,low,moderate,high,<p>Spring-like diurnal conditions exist and the rating reflects the highest hazard level anticipated during the day. Pay attention to steep south facing slopes as they heat up in the afternoon and possibly destabilize. Give looming cornices a wide berth from above and below. </p>,Confidence is due to a stable weather pattern; little change is expected for several days.
South Columbia,2021-03-16T23:00:00Z,low,moderate,moderate,high,<p>Spring-like diurnal conditions exist and the rating reflects the highest hazard level anticipated during the day. Pay attention to steep south facing slopes as they heat up in the afternoon and possibly destabilize. Give looming cornices a wide berth from above and below. </p>,We have a good understanding of the snowpack structure and confidence in the weather forecast
South Coast Inland,2021-03-16T23:00:00Z,moderate,moderate,low,high,<p>Cornices are large and could fail from the weight of a human. Wind slabs may linger at high elevations in the north of the region.</p>,N/A
North Rockies,2021-03-15T23:00:00Z,moderate,low,low,moderate,<p> <strong>Spring-like conditions will persist through the forecast period. Natural avalanche activity will likely spike in the afternoon when warming and solar radiation destabilizes the snowpack.</strong> </p>,N/A
Sea to Sky,2021-03-16T23:00:00Z,considerable,moderate,low,high,"<p>It is possible that riders could trigger wind slabs in steep terrain. Look for signs of instability in your riding area, such as recent avalanche activity.</p>",N/A
Chic-Chocs,2021-03-16T22:00:00Z,considerable,moderate,low,high,<p>New wind slabs above the melt-freeze crust can easily be triggered by skiers or snowboarders.</p>,We have a good understanding of the snowpack structure and confidence in the weather forecast
Kananaskis Country,2021-03-16T22:00:00Z,moderate,moderate,moderate,high,"<p>Early starts and finishes are key!  <strong>Avalanche danger will be Moderate in the cool mornings and then increase throughout the day to high with the intense solar radiation.</strong>  Pay attention to freezing levels, temps and aspect you are on or under.  </p>",N/A
location,date,alpine_hazard,treeline_hazard,below_treeline_hazard,confidence,highlights,confidence_statement
South Rockies,2021-03-17T23:00:00Z,low,moderate,moderate,moderate,<p>Start and finish your trip early to manage another warm day on Thursday. A steady cooling trend with light precipitation will take us into the weekend.</p>,N/A
Lizard-Flathead,2021-03-17T23:00:00Z,low,moderate,moderate,moderate,<p>Start and finish your trip early to manage another warm day on Thursday. A steady cooling trend with light precipitation will take us into the weekend.</p>,N/A
Kootenay-Boundary,2021-03-17T23:00:00Z,considerable,moderate,moderate,high,<p>The danger will be LOW when a thick melt-freeze crust is on the snow surface and increase during the heat of the day as warm air and sun weaken the snow surface. Best to get off steep slopes before they moisten and watch your overhead exposure. </p>,N/A
Cariboos,2021-03-17T23:00:00Z,moderate,low,low,moderate,"<p>New snow and strong wind may form isolated pockets of fresh wind slab.</p><p>The region will mostly see cloud cover on Thursday, however; if the sun pokes through it could heat slopes quickly. Pay attention to steep South facing slopes and back off them if they heat up.</p>",Uncertainty is due to the timing or intensity of solar radiation and its effect on the snowpack.
South Coast,2021-03-17T23:00:00Z,high,high,considerable,moderate,<p>A multi-day storm starts impacting the region Thursday. Rain will switch to snow and new slabs will begin to form.</p>,Uncertainty is due to the track & intensity of the incoming weather system.
Yukon,2021-03-17T23:00:00Z,moderate,moderate,norating,moderate,"<p> <strong>Southwesterly winds continue to form wind slabs on lee and</strong><a href=""https://www.avalanche.ca/glossary#cross-loading"" target=""_blank""> </a><a href=""https://www.avalanche.ca/glossary#cross-loading"" target=""_blank""><strong>cross-loaded</strong></a><a href=""https://www.avalanche.ca/glossary#cross-loading"" target=""_blank""> </a><strong>terrain features. Use caution when transitioning into wind affected terrain and avoid wind loaded slopes below ridgetops.</strong> </p>",Uncertainty is due to the limited number of field observations.
Northwest Inland,2021-03-17T23:00:00Z,moderate,low,low,moderate,<p>Light new snow and elevated winds should keep wind slab problems fresh and reactive to triggering in exposed areas. Monitor new snow accumulation and wind transport and be ready to step back if snowfall exceeds the forecast or you observe slab formation at lower elevations.</p>,Forecast snowfall amounts are uncertain.
Northwest Coastal,2021-03-17T23:00:00Z,considerable,moderate,moderate,moderate,<p>Forecast winds will have a steady supply of new snow to keep wind slabs fresh and reactive to triggering. Monitor accumulations and be ready to step back to simple terrain if snowfall exceeds forecast amounts. This seems most likely in the far south.</p>,Forecast snowfall amounts are uncertain.
North Columbia,2021-03-17T23:00:00Z,moderate,low,low,moderate,<p>Spring-like diurnal conditions exist and the rating reflects the highest hazard level anticipated during the day with warming. Pay attention to steep south facing slopes as they heat up in the afternoon and destabilize. Give looming cornices a wide berth from above and below. </p>,Uncertainty is due to the timing or intensity of solar radiation and its effect on the snowpack.
Purcells,2021-03-17T23:00:00Z,moderate,low,low,moderate,<p>Spring-like diurnal conditions exist and the rating reflects the highest hazard level anticipated during the day. Pay attention to steep south facing slopes as they heat up in the afternoon and possibly destabilize. Give looming cornices a wide berth from above and below. </p>,Uncertainty is due to the timing or intensity of solar radiation and its effect on the snowpack.
South Columbia,2021-03-17T23:00:00Z,moderate,low,low,moderate,<p>Spring-like diurnal conditions exist and the rating reflects the highest hazard level anticipated during the day with warming. Pay attention to steep south facing slopes as they heat up in the afternoon and destabilize. Give looming cornices a wide berth from above and below. </p>,Uncertainty is due to the timing or intensity of solar radiation and its effect on the snowpack.
South Coast Inland,2021-03-17T23:00:00Z,considerable,moderate,low,moderate,<p>New wind slabs may form over Thursday at higher elevations.</p>,Uncertainty is due to the track & intensity of the incoming weather system.
North Rockies,2021-03-17T23:00:00Z,moderate,moderate,low,moderate,"<p> <strong>Southwesterly winds continue to form wind slabs on lee and</strong><a href=""https://www.avalanche.ca/glossary#cross-loading"" target=""_blank""> </a><a href=""https://www.avalanche.ca/glossary#cross-loading"" target=""_blank""><strong>cross-loaded</strong></a><a href=""https://www.avalanche.ca/glossary#cross-loading"" target=""_blank""> </a><strong>terrain features in the alpine. Use caution when transitioning into wind affected terrain and avoid wind loaded slopes below ridgetops.</strong> </p>",Uncertainty is due to the fact that persistent slabs are particularly difficult to forecast.
Sea to Sky,2021-03-17T23:00:00Z,high,considerable,considerable,moderate,"<p>A multi-day storm will start building new slabs in the region. Assess for slab formation over the day, particularly at higher elevations.</p>",Uncertainty is due to the track & intensity of the incoming weather system.
Chic-Chocs,2021-03-17T21:30:00Z,moderate,moderate,low,moderate,<p>2 to 5 cm of forecasted snow will form new wind slabs over those already there and could been triggered by a skier.</p>,Forecast snowfall amounts are uncertain.
Kananaskis Country,2021-03-17T22:00:00Z,moderate,low,low,high,"<p>Danger rating are tied closely to aspect and time of day.  As temps increase expect the snow to become less stable especially on solar aspects. Danger can swing from moderate to HIGH in the heat of the day so pay close attention to aspect, temp, and quality of freeze overnight.  </p>",N/A
location,date,alpine_hazard,treeline_hazard,below_treeline_hazard,confidence,highlights,confidence_statement
Chic-Chocs,2021-03-18T21:30:00Z,moderate,low,low,moderate,<p>Beware of the new wind slabs that will form with the 5 cm of snow received. Even a small avalanche can make you fall and lead you and into the obstacles.</p>,Uncertainty is due to limitations in the field data.
Kananaskis Country,2021-03-18T22:00:00Z,moderate,low,low,moderate,<p>Cloud cover will likely limit the quality of freeze overnight. A dusting of new snow is also forecast as we will likely start to get accumulations of new snow this week.  Low doesnt mean No!  Continue to evaluate your terrain choices before committing. </p>,N/A
South Rockies,2021-03-18T23:00:00Z,low,low,low,moderate,<p>A cooling trend should have a strong stabilizing effect on the snowpack in the coming days. </p>,N/A
Lizard-Flathead,2021-03-18T23:00:00Z,low,low,low,moderate,<p>A cooling trend should have a strong stabilizing effect on the snowpack in the coming days. </p>,N/A
Kootenay-Boundary,2021-03-18T23:00:00Z,moderate,low,low,high,<p>New wind slabs may form over Friday at higher elevations.</p>,N/A
Cariboos,2021-03-18T23:00:00Z,moderate,moderate,low,moderate,"<p>New snow and strong wind may form isolated pockets of fresh wind slab.</p><p>The region will see mostly cloud cover on Friday, but if the sun shines it could heat up fast. Large loads like cornice fall may trigger a persistent slab from the slope below. </p>",Forecast snowfall amounts are uncertain.
South Coast,2021-03-18T23:00:00Z,considerable,moderate,low,moderate,"<p>Dangerous avalanche conditions will exist on slopes that receive more than 20 cm of new snow, which is most likely at higher elevations.</p>",Forecast precipitation (either snow or rain) amounts are uncertain.
Yukon,2021-03-17T23:00:00Z,moderate,moderate,norating,moderate,"<p> <strong>Southwesterly winds continue to form wind slabs on lee and</strong><a href=""https://www.avalanche.ca/glossary#cross-loading"" target=""_blank""> </a><a href=""https://www.avalanche.ca/glossary#cross-loading"" target=""_blank""><strong>cross-loaded</strong></a><a href=""https://www.avalanche.ca/glossary#cross-loading"" target=""_blank""> </a><strong>terrain features. Use caution when transitioning into wind affected terrain and avoid wind loaded slopes below ridgetops.</strong> </p>",Uncertainty is due to the limited number of field observations.
Northwest Inland,2021-03-18T23:00:00Z,moderate,low,low,moderate,<p>Watch for patterns of wind transport to avoid freshly formed wind slab hazards on Friday and keep giving cornices a wide berth.</p>,Forecast snowfall amounts are uncertain.
Northwest Coastal,2021-03-18T23:00:00Z,moderate,moderate,low,moderate,"<p>The current storm is light duty compared to what the region has seen recently, but fresh wind slab hazards should still figure into your travel decisions. Deeper recent storm interfaces and more stubborn older wind slabs shouldn&#39;t be ruled out quite yet.</p>",Forecast snowfall amounts are uncertain.
North Columbia,2021-03-18T23:00:00Z,moderate,low,low,moderate,"<p> </p><p>New snow and strong wind may form isolated pockets of fresh wind slab.</p><p>The region will see mostly cloud cover on Friday, but if the sun shines it could heat up fast. Pay attention to steep South facing slopes and back off if they heat up</p><p>Avoid exposure above or below cornices </p><p></p>",Forecast snowfall amounts are uncertain.
Purcells,2021-03-18T23:00:00Z,low,low,low,high,"<p> </p><p>The region will see mostly cloud cover on Friday, but if the sun shines it could heat up fast. Pay attention to steep South facing slopes and back off if they heat up. Avoid exposure above or below cornices.</p>",N/A
South Columbia,2021-03-18T23:00:00Z,moderate,low,low,moderate,"<p> </p><p>New snow and strong wind may form isolated pockets of fresh wind slab.</p><p>The region will see mostly cloud cover on Friday, but if the sun shines it could heat up fast. Pay attention to steep South facing slopes and back off if they heat up</p><p>Avoid exposure above or below cornices.</p>",Forecast snowfall amounts are uncertain.
South Coast Inland,2021-03-18T23:00:00Z,moderate,moderate,low,high,<p>New wind slabs may form at higher elevations over Friday.</p>,N/A
North Rockies,2021-03-17T23:00:00Z,moderate,moderate,low,moderate,"<p> <strong>Southwesterly winds continue to form wind slabs on lee and</strong><a href=""https://www.avalanche.ca/glossary#cross-loading"" target=""_blank""> </a><a href=""https://www.avalanche.ca/glossary#cross-loading"" target=""_blank""><strong>cross-loaded</strong></a><a href=""https://www.avalanche.ca/glossary#cross-loading"" target=""_blank""> </a><strong>terrain features in the alpine. Use caution when transitioning into wind affected terrain and avoid wind loaded slopes below ridgetops.</strong> </p>",Uncertainty is due to the fact that persistent slabs are particularly difficult to forecast.
Sea to Sky,2021-03-18T23:00:00Z,considerable,moderate,moderate,moderate,"<p>Dangerous avalanche conditions will exist on slopes that receive more than 20 cm of new snow, which is most likely at higher elevations.</p>",Forecast snowfall amounts are uncertain.
location,date,alpine_hazard,treeline_hazard,below_treeline_hazard,confidence,highlights,confidence_statement
Kananaskis Country,2021-03-19T22:00:00Z,moderate,low,low,moderate,"<p>With some light snow coming through the area, expect the skiing to be good. There will hopefully be just enough snow to take the edge off the crusty conditions on south aspects. </p>",N/A
South Rockies,2021-03-19T23:00:00Z,low,low,low,high,<p>Exercise caution at low elevations where the snowpack is wet and lacks cohesion. Small wind slabs may form in the alpine with light new snow amounts.</p>,N/A
Lizard-Flathead,2021-03-19T23:00:00Z,low,low,low,high,<p>Exercise caution at low elevations where the snowpack is wet and lacks cohesion. Small wind slabs may form in the alpine with light new snow amounts.</p>,N/A
Kootenay-Boundary,2021-03-19T23:00:00Z,low,low,low,high,<p>With cool temperatures and a dusting of new snow the main hazard is isolated pockets of wind slabs.</p>,N/A
Cariboos,2021-03-19T23:00:00Z,moderate,low,low,moderate,"<p>Potentially touchy wind slabs may form throughout the weekend on upper elevation north, northeast &amp; east facing slopes. Clearing Saturday afternoon could heat things up fast. Large loads like cornice fall may trigger a persistent slab from the slope below.</p>","Uncertainty is due to the timing, track, & intensity of the incoming weather system."
South Coast,2021-03-19T23:00:00Z,high,considerable,moderate,moderate,"<p>6:20 AM Update: Some areas may have received over 30 cm of snow overnight, particularly at higher elevations. Human triggered avalanches will be very likely where such large amounts of snow accumulated. Gather information in simple, non-consequential terrain.</p>",Uncertainty is due to how quickly the snowpack will recover and gain strength.
Yukon,2021-03-19T23:00:00Z,moderate,moderate,norating,moderate,<p>Lingering wind slabs below alpine ridgetops may remain reactive to human triggers. The snowpack is highly variable throughout this region and persistent weak layers may be reactive in isolated areas.</p>,Uncertainty is due to the limited number of field observations.
Northwest Inland,2021-03-19T23:00:00Z,moderate,low,low,high,<p>Steady light snowfall and elevated winds are keeping winter alive up high. Be ready to manage a typical array of wind slab and cornice hazards as you gain elevation.</p>,N/A
Northwest Coastal,2021-03-19T23:00:00Z,considerable,considerable,moderate,moderate,<p>Steady snowfall and elevated winds are keeping winter alive up high. Be ready to manage a typical array of wind slab and cornice hazards as you gain elevation. Push danger ratings a step higher if you&#39;re closer to Bear Pass than Shames.</p>,N/A
North Columbia,2021-03-19T23:00:00Z,moderate,low,low,moderate,"<p>6:40 AM Update: 10 to 15 cm of snow has accumulated and more is possible, at times heavy. Touchy wind slabs may form throughout the weekend on upper elevation north, northeast &amp; east facing slopes. These fresh slabs may rest on a thin layer of surface hoar.</p>","Uncertainty is due to the timing, track, & intensity of the incoming weather system."
Purcells,2021-03-19T23:00:00Z,moderate,low,low,moderate,"<p>Fresh wind slabs may form throughout the weekend on upper elevation north, northeast &amp; east facing slopes. Clearing Saturday afternoon could heat things up fast. Avoid being on or below cornices.</p>","Uncertainty is due to the timing, track, & intensity of the incoming weather system."
South Columbia,2021-03-19T23:00:00Z,moderate,low,low,moderate,"<p>Potentially touchy wind slabs may form throughout the weekend on upper elevation north, northeast &amp; east facing slopes. These fresh slabs may rest on a thin layer of surface hoar. Convective flurries could produce locally heavy snowfall, watch for rapidly changing conditions. </p>","Uncertainty is due to the timing, track, & intensity of the incoming weather system."
South Coast Inland,2021-03-19T23:00:00Z,moderate,moderate,low,moderate,<p>Heightened avalanche conditions exist on steep slopes that have been loaded by the wind.</p>,Forecast snowfall amounts are uncertain.
North Rockies,2021-03-19T23:00:00Z,moderate,moderate,low,moderate,<p>Modest amounts of new snow and shifting winds may form wind slabs on a variety of aspects below alpine ridgetops. The snowpack is highly variable throughout this region and persistent weak layers may be reactive in isolated areas.</p>,Uncertainty is due to the limited number of field observations.
Sea to Sky,2021-03-19T23:00:00Z,considerable,moderate,moderate,moderate,"<p>Don&#39;t let all the new snow lure you into consequential avalanche terrain, large storm slab avalanches will be primed for human triggering.</p>",Forecast snowfall amounts are uncertain.
Chic-Chocs,2021-03-19T21:30:00Z,moderate,moderate,moderate,moderate,<p>More snow than expected has fallen in the northern sectors of the Chic-Chocs to form new wind slabs.  Keep an eye on this before heading up a slope.</p>,Uncertainty is due to how the snowpack will react to the forecast weather.
location,date,alpine_hazard,treeline_hazard,below_treeline_hazard,confidence,highlights,confidence_statement
South Rockies,2021-03-20T23:00:00Z,low,low,low,moderate,<p> Exercise caution at low elevations if you&#39;re encountering wet snow that lacks cohesion. Small wind slabs may form in leeward alpine features with light new snow amounts. </p>,N/A
Lizard-Flathead,2021-03-20T23:00:00Z,moderate,low,low,moderate,<p>A bit of new snow has improved our skiing and riding conditions while giving forecast winds material to form new hazards. Keep an eye out for fresh wind slabs formed (or forming) on leeward slopes as you approach exposed terrain on Sunday.</p>,N/A
Kootenay-Boundary,2021-03-20T23:00:00Z,moderate,moderate,low,high,<p>Generally safe avalanche conditions until more snow arrives on Sunday night.</p>,N/A
Cariboos,2021-03-20T23:00:00Z,moderate,moderate,low,moderate,<p>Strong winds and flurries are forming fresh wind slabs around ridges and lee features. Be mindful that best riding conditions may overlap with the deepest deposits and touchiest slabs.</p>,"Uncertainty is due to the timing, track, & intensity of the incoming weather system."
South Coast,2021-03-20T23:00:00Z,high,considerable,moderate,moderate,<p>Avalanche danger will increase throughout the day as snow continually accumulates. Stick to mellower terrain and back off when the storm intensifies.</p>,Uncertainty is due to the timing of the incoming weather system.
Yukon,2021-03-20T23:00:00Z,moderate,low,norating,moderate,<p>Stubborn wind slabs exist in exposed alpine terrain. The softest riding conditions will be found in terrain features sheltered from recent wind.</p>,Uncertainty is due to the limited number of field observations.
Northwest Inland,2021-03-20T23:00:00Z,moderate,moderate,moderate,moderate,"<p>Approach Sunday with a mindset of initial assessment and anticipating hazard to increase over the day. Touchy slabs will be forming with forecast snowfall and wind, but depth and distribution will likely favour the west of the region. </p>",Forecast snowfall amounts are uncertain.
Northwest Coastal,2021-03-20T23:00:00Z,considerable,considerable,moderate,moderate,"<p>Heavy snowfall and high winds are set to create a widespread new storm slab problem over the region&#39;s avalanche terrain. Sunday will be a good day to seek out low angle, sheltered terrain that isn&#39;t threatened by overhead hazard.</p>",Forecast snowfall amounts are uncertain.
North Columbia,2021-03-20T23:00:00Z,considerable,moderate,low,low,<p>Expect to find an increasingly reactive slab as snowfall accumulates and anywhere fresh snow is influenced by the wind. Be mindful that the best riding conditions may overlap with the deepest deposits and touchiest slabs.</p>,"Uncertainty is due to the timing, track, & intensity of the incoming weather system."
Purcells,2021-03-20T23:00:00Z,moderate,moderate,low,moderate,<p>Expect southwesterly winds and flurries to form fresh slabs around ridges and lee features. Be mindful that best riding conditions may overlap with the deepest deposits and touchiest slabs.</p>,"Uncertainty is due to the timing, track, & intensity of the incoming weather system."
South Columbia,2021-03-20T23:00:00Z,considerable,moderate,low,low,<p>More snow is forecasted around the region with enhanced precipitation in localized areas. Expect to find an increasingly reactive slab as snowfall accumulates and anywhere fresh snow is influenced by the wind.</p>,"Uncertainty is due to the timing, track, & intensity of the incoming weather system."
South Coast Inland,2021-03-20T23:00:00Z,considerable,moderate,low,moderate,<p>Heightened avalanche conditions exist on steep slopes that have been loaded by the wind.</p>,Uncertainty is due to the timing of the incoming weather system.
North Rockies,2021-03-20T23:00:00Z,considerable,moderate,low,moderate,"<p>Strong wind is forecast on Sunday, which may form new wind slabs that could be touchy to riders during formation and into Monday. The problem will be most likely where 15+ cm of soft snow is found, so assess for new snow, strong wind, and slab characteristics during your travels.</p>",Uncertainty is due to the limited number of field observations.
Sea to Sky,2021-03-20T23:00:00Z,considerable,moderate,moderate,moderate,<p>Avalanche danger will increase throughout the day as snow continually accumulates. Stick to mellower terrain and back off when the storm intensifies.</p>,"Uncertainty is due to the timing, track, & intensity of the incoming weather system."
Chic-Chocs,2021-03-20T20:30:00Z,moderate,moderate,moderate,high,"<p>Spring is on its way for the next 3 days. Learn how to manage the risks associated with <a href=""https://www.avalanche.ca/pages/static-page/spring-conditions-scenario2"" target=""_blank"">spring conditions by reading this article.</a></p>",Confidence is due to a stable weather pattern with little change expected.
Kananaskis Country,2021-03-20T22:00:00Z,moderate,moderate,low,high,"<p>Up to 15cm of new snow is helping out the skiing.  Evaluate the bond with the new snow and the underlying surface.  If the sun comes out, expect stability to deteriorate quickly.  Gotta love spring!  Sometimes three seasons in one day!</p>",N/A
location,date,alpine_hazard,treeline_hazard,below_treeline_hazard,confidence,highlights,confidence_statement
South Rockies,2021-03-21T23:00:00Z,low,low,low,high,<p>Get out there and explore the region! Alpine hazards are quite manageable with normal cautions right now. Visibility should improve a bit on Tuesday.</p>,N/A
Lizard-Flathead,2021-03-21T23:00:00Z,moderate,low,low,moderate,"<p>Watch for new wind slabs perched in steep, leeward terrain features in exposed areas. Mellower sheltered slopes likely offer better skiing and riding quality.</p>",N/A
Kootenay-Boundary,2021-03-21T23:00:00Z,moderate,low,low,moderate,<p>Heightened avalanche conditions may exist on steep open slopes that have been loaded by the wind.</p><p> </p>,Forecast snowfall amounts are uncertain.
Cariboos,2021-03-21T23:00:00Z,moderate,moderate,low,moderate,"<p>Updated at 730am: Storm totals are stacking up - expect to find a more widespread slab problem in areas that received upwards of 15 cm overnight.</p><p>Carefully assess your line for reactive slabs before committing. Steep, convex slopes below ridgetop are likely trigger spots.</p>","Uncertainty is due to the speed, direction, or duration of the wind and its effect on the snowpack."
South Coast,2021-03-21T23:00:00Z,considerable,moderate,low,moderate,"<p>Don&#39;t let the new snow lure you into consequential avalanche terrain, human triggered avalanches will be likely on Monday.</p>",Uncertainty is due to how quickly the snowpack will recover and gain strength.
Yukon,2021-03-20T23:00:00Z,moderate,low,norating,moderate,<p>Stubborn wind slabs exist in exposed alpine terrain. The softest riding conditions will be found in terrain features sheltered from recent wind.</p>,Uncertainty is due to the limited number of field observations.
Northwest Inland,2021-03-21T23:00:00Z,moderate,moderate,low,moderate,<p>Touchy surface instabilities existed in the region before Sunday&#39;s storm - new snow and strong wind have just taken them up a notch. It&#39;s still winter up high!</p>,N/A
Northwest Coastal,2021-03-21T23:00:00Z,high,considerable,moderate,moderate,<p>Investigate the outcome of the storm with a mindset of initial assessment on Monday and be cautious about applying your observations of conservative terrain to more aggressive slopes. Wind loaded features will likely be primed for human triggers.</p>,N/A
North Columbia,2021-03-21T23:00:00Z,moderate,moderate,low,moderate,"<p>Updated at 730am: Storm totals are stacking up - expect to find a more widespread slab problem in areas that received upwards of 20 cm overnight.</p><p>Carefully assess your line for reactive slabs before committing. Steep, convex slopes below ridgetop are likely trigger spots.</p>","Uncertainty is due to the speed, direction, or duration of the wind and its effect on the snowpack."
Purcells,2021-03-21T23:00:00Z,moderate,low,low,moderate,"<p>Carefully assess your line for reactive wind slabs before committing. Steep, convex slopes below ridgetop are the most likely places to trigger these slabs.</p>","Uncertainty is due to the speed, direction, or duration of the wind and its effect on the snowpack."
South Columbia,2021-03-21T23:00:00Z,moderate,moderate,low,moderate,"<p>Updated at 730am: Storm totals are stacking up - expect to find a more widespread slab problem in areas that received upwards of 20 cm overnight.</p><p>Carefully assess your line for reactive slabs before committing. Steep, convex slopes below ridgetop are likely trigger spots.</p>","Uncertainty is due to the speed, direction, or duration of the wind and its effect on the snowpack."
South Coast Inland,2021-03-21T23:00:00Z,moderate,low,low,moderate,"<p>Keep your guard up on steep and open slopes, as there is now enough fresh snow for human triggered avalanches.</p>","Uncertainty is due to the speed, direction, or duration of the wind and its effect on the snowpack."
